"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","кочерга","заказывать","белый","знать","друг"
"2","день","алексей","салют","follows","клуб"
"3","просыпаться","анимешник","тело","preacher","slowdive"
"4","третий","вечеринка","applemusic","scott","акка"
"5","naz","год","fleur","walker","вконтакте"
"6","scull","гораздо","бал","бонг","возвышаться"
"7","аром","господний","вкатывать","буквально","высокоточный"
"8","безлимитный","гость","выпускать","вставать","гавно"
"9","быстрый","гот","гавно","вчера","говориться"
"10","вещь","деньги","газета","высылать","гринвич"
"11","водка","дешево","готовиться","героин","давать"
"12","группа","ебашить","дамкин","глубинка","дело"
"13","дешевый","ждать","иметься","говорить","дрипка"
"14","егор","заев","конь","гостить","екатеринбург"
"15","единственный","замечать","котик","допускать","интересный"
"16","заставлять","кладбище","лапка","жалиться","лимбик"
"17","интернет","когото","лола","запивать","лужа"
"18","квартира","лососевый","майка","йога","май"
"19","лет","медведь","минимум","масала","мама"
"20","мамаша","мемориальный","могила","место","манить"
"21","называть","миша","мусор","многое","мехмод"
"22","находить","молодой","написать","мужик","написать"
"23","оконный","музей","обмакивать","напевать","наркоман"
"24","оконце","неее","обращаться","некрофил","огромный"
"25","пить","неизвестный","пиво","норма","открывать"
"26","пойло","нормалек","подкрадываться","паук","печь"
"27","понимание","океюшка","пожизненный","плохой","повар"
"28","рама","открываться","полковник","поделиться","послушать"
"29","рассказывать","охуенно","приезд","помидор","поцан"
"30","свет","пацан","признаваться","помогать","правый"
"31","сниться","песня","приключение","понимать","продолжать"
"32","танцевать","печень","респект","посмотреть","рад"
"33","углеводный","пиздец","рубль","прана","сериал"
"34","упоминание","подраться","синий","проигрывать","скучный"
"35","шаурма","полный","слышать","равный","тейк"
"36","follows","получаться","стыдно","резвый","теснота"
"37","preacher","помнить","тетрадь","родина","техножир"
"38","лола","припой","тираж","рука","торт"
"39","напевать","продукт","удивительный","русский","трансжир"
"40","некрофил","радиотовар","уицраор","сниться","хаусжир"
"41","норма","распад","улитка","современный","центр"
"42","поделиться","сборка","хуямбрь","сон","читать"
"43","проигрывать","связываться","чернила","спрашивать","шатап"
"44","хороший","сдвигать","честь","страна","энд"
"45","рад","сериал","чикибрикин","фараон","naz"
"46","год","скоро","щупальце","хороший","scull"
"47","господний","сотрудник","naz","хотеть","безлимитный"
"48","пиздец","стиль","scull","чудесный","быстрый"
"49","полный","теллуровый","безлимитный","naz","вещь"
"50","скоро","течение","быстрый","scull","водка"
"51","хуйня","точка","вещь","безлимитный","группа"
"52","scott","фасттех","водка","быстрый","день"
"53","walker","ходить","группа","вещь","дешевый"
"54","бонг","хуйня","день","водка","егор"
"55","выпускать","хуярить","дешевый","группа","единственный"
"56","высылать","цой","егор","день","заставлять"
"57","глубинка","этанол","единственный","дешевый","интернет"
"58","готовиться","naz","заставлять","егор","квартира"
"59","обращаться","scull","интернет","единственный","лет"
"60","подкрадываться","бал","квартира","заставлять","называть"
"61","посмотреть","безлимитный","лет","интернет","находить"
"62","приезд","быстрый","называть","квартира","пить"
"63","равный","вещь","находить","лет","пойло"
"64","русский","вконтакте","пить","называть","понимание"
"65","тираж","водка","пойло","находить","просыпаться"
"66","улитка","говориться","понимание","пить","рассказывать"
"67","хуямбрь","группа","просыпаться","пойло","третий"
"68","тело","день","рассказывать","понимание","упоминание"
"69","slowdive","дешевый","третий","просыпаться","follows"
"70","давать","егор","упоминание","рассказывать","preacher"
"71","интересный","единственный","follows","третий","лола"
"72","послушать","заставлять","preacher","упоминание","напевать"
"73","сериал","интернет","напевать","лола","некрофил"
"74","гавно","квартира","некрофил","рад","норма"
"75","алексей","конь","норма","аром","поделиться"
"76","анимешник","котик","поделиться","год","проигрывать"
"77","гот","лапка","проигрывать","господний","хороший"
"78","заев","лет","хороший","пиздец","аром"
"79","замечать","лимбик","рад","полный","applemusic"
"80","неизвестный","май","аром","скоро","рубль"
"81","охуенно","манить","год","хуйня","год"
"82","песня","могила","господний","выпускать","господний"
"83","подраться","мусор","пиздец","готовиться","пиздец"
"84","получаться","называть","полный","обращаться","полный"
"85","помнить","находить","скоро","подкрадываться","скоро"
"86","припой","обмакивать","хуйня","приезд","хуйня"
"87","радиотовар","пиво","scott","тираж","scott"
"88","сборка","пить","walker","улитка","walker"
"89","сдвигать","пойло","бонг","хуямбрь","бонг"
"90","теллуровый","полковник","высылать","тело","выпускать"
"91","точка","понимание","глубинка","slowdive","высылать"
"92","цой","просыпаться","посмотреть","давать","глубинка"
"93","applemusic","рассказывать","равный","интересный","готовиться"
"94","газета","салют","русский","послушать","обращаться"
"95","знать","синий","slowdive","сериал","подкрадываться"
"96","иметься","слышать","давать","гавно","посмотреть"
"97","майка","тейк","интересный","алексей","приезд"
"98","минимум","тетрадь","послушать","анимешник","равный"
"99","плохой","третий","сериал","гот","русский"
"100","пожизненный","упоминание","алексей","заев","тираж"
