"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","создавать","водка","собеседование","история","область"
"2","день","задерживать","сделать","дом","дорога"
"3","хотеть","россия","получать","оказываться","знать"
"4","мужчина","ехать","проект","работать","убивать"
"5","год","оказываться","видеть","время","житель"
"6","находить","испытывать","помощь","выставка","летний"
"7","москва","житель","искусственный","емнип","мочь"
"8","проходить","играть","казаться","ето","начинать"
"9","ученый","виза","корабль","знать","фура"
"10","жить","время","любой","любить","хороший"
"11","познакомиться","год","научаться","поставлять","давать"
"12","робот","боевой","обвинять","становиться","делать"
"13","самый","гюрза","писать","хуй","еда"
"14","становиться","поиск","служба","штамп","задерживать"
"15","черный","сделать","бывать","всетака","купить"
"16","смотреть","уходить","вещь","год","нобелевский"
"17","дом","фура","волшебный","cacatrepa","оказываться"
"18","мочь","танк","воронеж","cacatrepitos","полиция"
"19","асфальт","город","год","trepa","премия"
"20","буксир","мочь","доктор","tres","сторона"
"21","верно","болгария","екатеринбург","виза","хотеть"
"22","восторг","вооружение","желающий","вооруженный","пьяный"
"23","выходить","заказывать","интеллект","выбирать","год"
"24","голова","заменять","интересно","ггг","австралийский"
"25","дисплей","игра","инфаркт","голубь","безработный"
"26","заставлять","искусство","какаято","давать","ггг"
"27","звать","кабина","клевый","женщина","давление"
"28","игра","качество","клетка","запрещать","днк"
"29","использовать","кладбище","комплексовать","играть","долго"
"30","карточка","купить","ластфм","катапультирование","думать"
"31","лес","малый","место","клуб","ездить"
"32","миллион","машина","название","котеночек","жительница"
"33","мэр","метеорит","научать","лондон","игра"
"34","начинать","московский","находить","мочь","избивать"
"35","отказываться","нейтрино","открывать","научать","изнасиловать"
"36","планета","нобель","первый","немного","материал"
"37","получать","нужный","петербург","оборудование","мож"
"38","полчаса","огонь","понимать","объяснять","мужчина"
"39","производство","опубликовывать","пора","ока","новость"
"40","просыпаться","отравляться","посмотреть","осознаваться","оказывать"
"41","прямо","отфильтровывать","появляться","пермский","перегруз"
"42","работать","петербурженка","простой","повеситься","питерский"
"43","размер","пить","разбиваться","показывать","показывать"
"44","рано","поведение","рано","получать","работа"
"45","рука","подтверждать","ребенок","пригождаться","разъебовать"
"46","световой","полночь","ребята","продолжать","ремонт"
"47","сезон","попадать","риск","прожект","рыбак"
"48","собака","посмотреть","самолет","ребенок","свежий"
"49","сталкиваться","предполагать","спасение","рейс","сжигать"
"50","тлен","прекрасный","спутник","рига","умирать"
"51","художник","прорваться","схема","скоро","урал"
"52","цель","пушин","тип","случай","шведский"
"53","цена","ракета","транзас","случаться","кажетец"
"54","умный","селфи","устройство","тело","глаз"
"55","обратно","сравнивать","ученый","урур","apple"
"56","гранатомет","студент","фотография","фактор","buttocks"
"57","площадь","суббота","челябинский","фраза","crazy"
"58","красный","территория","превращать","фьюри","dota"
"59","практически","труп","море","человеческий","imac"
"60","снег","ужин","месяц","чото","living"
"61","время","украина","прототип","bizco","microsoft"
"62","пьяный","фото","будущее","brusco","аборт"
"63","твитов","яйцо","робот","busco","авиабилет"
"64","firefox","готовый","adobe","crossfire","акробат"
"65","gtlt","вспомнить","airlines","cuando","алексиевич"
"66","just","говорить","cannibalism","los","архангельский"
"67","photo","военный","cyka","motors","ато"
"68","posted","прошлый","delorean","thirdparty","банк"
"69","twitter","представлять","dсканирования","tiene","башар"
"70","абрикосов","делать","google","toyota","башка"
"71","агол","шенген","gtlt","trepan","башкирия"
"72","агрессивный","белорусский","iqтесте","una","башкирский"
"73","аптека","робот","kickstarter","vasco","берег"
"74","астроном","глаз","malaysia","xvii","берлога"
"75","ася","получать","necessity","абхазия","бля"
"76","бактерия","хотеть","splatterhouse","авиационный","богатый"
"77","бармен","bing","абонемент","автодорога","большой"
"78","барский","jaguar","автодорога","акклиматизация","бомба"
"79","безуспешно","leap","автомобиль","андроид","бочковая"
"80","битва","magic","адски","астрахань","брелка"
"81","богиня","nasa","американец","астрологический","було"
"82","бодрящий","sega","амоул","атеизм","важный"
"83","болтовня","splatterhouse","английский","аэропорт","вернуться"
"84","борт","windows","антинаркотический","басок","весело"
"85","борьба","авария","арестовывать","башня","вечность"
"86","братоминвалид","австралиец","артобъект","бегать","вещь"
"87","британия","авто","баблишко","беларусь","виагра"
"88","бритиш","автобус","бегать","беспилотник","владеть"
"89","бронежилетоввышиванка","автомобиль","безопасность","бить","влиять"
"90","брянский","автострадный","бесплатный","благо","водиться"
"91","будва","акклиматизация","благоприятный","больница","возить"
"92","бэмби","акула","больница","борьба","вологодский"
"93","вакансия","алиэкспресс","борт","будва","встреча"
"94","великан","алкоголь","бояться","будущее","вчера"
"95","велосипед","алхимик","бритва","важный","выгода"
"96","вериться","американец","бронемашина","век","выдвижение"
"97","вернуться","анус","бутылка","верить","выигруедать"
"98","вечер","армейский","бэсфорд","взлом","выигрывать"
"99","взгляд","аэропорт","бюджет","винд","выпивать"
"100","вид","бабос","валенок","виртуальный","выступать"
