"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","год","царь","россия","бешенство","говорить"
"2","следующий","new","мир","деньги","девушка"
"3","должный","soundcloud","плохой","тьма","день"
"4","мертвый","sounds","подходить","видеть","знать"
"5","надежда","желать","смотреть","вспомнить","кира"
"6","русский","колоннада","толкнуть","год","отдавать"
"7","счастливый","рухнуть","шататься","жирный","сделать"
"8","хороший","слово","against","изуродовать","эпоха"
"9","бедный","снег","give","курсив","безголовый"
"10","нищий","собственный","goliath","оптимизм","белый"
"11","сребролюбец","хороший","the","отзыв","бесконечный"
"12","становиться","book","weapon","понимать","бог"
"13","уверенный","dilecte","you","рука","вера"
"14","аммиак","flags","your","хороший","вернуть"
"15","бог","iii","авария","причина","вычислительный"
"16","богатый","lassus","актуальный","ἐξώτερος","геологический"
"17","бэкон","orlande","антоний","анестезия","глядеть"
"18","валюта","rocket","богатство","безысходный","голубой"
"19","виновный","sand","брать","бог","гуманитарный"
"20","волновать","shame","валиться","бумага","долг"
"21","время","veni","возможность","верность","зашататься"
"22","вчера","вагон","восхищение","вещь","земной"
"23","выключать","взгляд","выливаться","вид","знание"
"24","героиня","война","высказывание","вместе","зря"
"25","гирлянда","выпивать","гибнуть","внешний","клерикализм"
"26","двигаться","генерал","говорить","вчера","клондайк"
"27","диета","гимн","дело","выкидывать","красивый"
"28","дно","дворец","допустимый","выставка","кусок"
"29","долгий","делать","достигать","глобально","лектор"
"30","елочка","должник","досуг","голова","масса"
"31","жопа","должно","жертва","давать","материальный"
"32","запад","достойный","земля","довольный","машина"
"33","знать","жить","злоумышленник","документ","мечтать"
"34","икать","запрещать","знать","журнал","милый"
"35","индивидуальный","зевака","иметь","запуск","молча"
"36","интервью","зной","интересовать","зарабатывать","монастырь"
"37","искупление","идти","испортить","импотентразвратник","москва"
"38","исполняться","испытывать","какогото","интересно","мочь"
"39","иудей","картинка","кира","искусство","напевать"
"40","каждый","кокаин","количество","использовать","небо"
"41","кокаинводадва","концентрат","концентрат","капитал","норма"
"42","комната","корона","концентрация","квартира","нужно"
"43","кошмар","косо","крым","конец","обещать"
"44","край","кофе","левый","концептуальный","облако"
"45","курс","красиво","лежать","коппол","образчик"
"46","листик","кривой","лицо","кромешный","отдыхать"
"47","лоток","крупно","машо","купить","открытка"
"48","маленький","метро","миниатюра","легализация","отчаяние"
"49","минувший","мудиссон","многократно","лист","очевидность"
"50","надеяться","начинивать","надлежать","лицо","патриархальность"
"51","написать","объяснять","написать","массовый","повалиться"
"52","оливейра","остальной","обещать","мемориал","поздний"
"53","откушать","песня","обнаруживать","надеяться","пойти"
"54","плохо","петр","объяснение","начинать","получение"
"55","плохой","повторяться","огорчаться","неправда","посчитать"
"56","пожаловать","позиция","окончательно","нуждаться","потерпеть"
"57","показываться","поклониться","откровенно","обман","приводить"
"58","поколение","послышаться","открытка","отделять","пропадать"
"59","понашему","ракета","патриотизм","отчаяние","работать"
"60","портрет","растолковывать","переставать","отчаянный","рабочий"
"61","признаваться","родиться","плеснуть","переписка","рад"
"62","приносить","россия","подлежащее","пессимистический","радикальный"
"63","приходиться","селфи","показывать","писать","саша"
"64","проповедь","смерть","помогать","подавать","сверху"
"65","противный","снова","превышать","подорожание","сердце"
"66","радость","собор","преграда","подчеркивание","сильный"
"67","речь","сотня","предел","подымать","смочь"
"68","рисунок","стакан","предельно","поехать","снежок"
"69","салат","стыд","приличный","порнография","сразу"
"70","самый","толковать","происходить","порочный","средневековый"
"71","священник","убивать","псалом","постинг","средневековье"
"72","сетка","ударять","публичный","право","становиться"
"73","сидеть","ура","пятидесятый","праздник","течение"
"74","сильно","фашист","работа","престарелый","упрямство"
"75","совещательный","фон","разлив","прибыль","утверждать"
"76","стол","эксотерос","рано","пробовать","учтивый"
"77","сторона","следующий","рассказывать","протагонист","хороший"
"78","судья","год","рождество","противно","цибуля"
"79","туалетный","рассказывать","рондо","пытаться","чистый"
"80","удаляться","надлежать","русофобия","радостно","читатель"
"81","уничтожать","выбирать","свет","разговор","чудо"
"82","френсис","причина","свободный","разок","шансон"
"83","цепочка","открытка","сводить","ракета","шар"
"84","чувствительный","мир","святой","редко","шататься"
"85","мир","знать","семьдесят","саксофон","яркий"
"86","четыре","огорчаться","сжигать","свайпнуть","выбирать"
"87","семьдесят","патриотизм","спасибо","сделка","мир"
"88","испытывать","рождество","спрашивать","скоро","бешенство"
"89","картинка","русофобия","становиться","слава","причина"
"90","ура","старик","старик","слышать","надлежать"
"91","фашист","бешенство","толк","сомневаться","рассказывать"
"92","остальной","очевидность","фильм","сообщение","огорчаться"
"93","желать","упрямство","хороший","составлять","патриотизм"
"94","россия","приводить","хотеть","спалить","рождество"
"95","надлежать","увы","четыре","спам","русофобия"
"96","рассказывать","исполняться","читать","спасибо","старик"
"97","выбирать","оливейра","шатание","старый","год"
"98","причина","свет","год","сумма","мудиссон"
"99","открытка","смотреть","приводить","точно","зной"
"100","старик","фильм","уничтожать","труд","увы"
