"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","писать","мочь","видеть","утро","готовый"
"2","понимать","хороший","бедный","вид","годвилль"
"3","второй","знать","время","год","день"
"4","играть","нужно","день","бывать","год"
"5","вчера","хотеть","ждать","пес","адов"
"6","the","бровь","пара","выходить","выбор"
"7","внезапно","гавно","пес","давать","оставаться"
"8","мастерство","день","слово","ближний","ответ"
"9","платформа","искать","хватать","видео","праздник"
"10","поехать","москва","cowboy","делать","привет"
"11","помогать","общий","ангелический","дом","любить"
"12","стол","первый","борода","идея","ask"
"13","читать","плохо","бритва","кот","dont"
"14","amp","понимать","вечер","лицо","gorkiyhostel"
"15","diminishing","последний","дверь","маринкин","greater"
"16","kitteridge","слово","дисциплина","пентхаус","homescreen"
"17","law","однокоренной","документ","первый","just"
"18","olive","страна","друг","плюс","photo"
"19","автомеханик","find","живой","понравиться","posted"
"20","банк","iamx","игра","самый","truth"
"21","беспокоить","вино","ложный","сцена","вариант"
"22","варить","воистину","момент","получаться","вейдер"
"23","голова","время","находить","сделать","выход"
"24","друг","выдыхать","ножницы","включать","ггг"
"25","ехать","говорить","нормальный","выращивать","гимназия"
"26","закрывать","замечать","общий","герой","глаз"
"27","игрок","издание","опасный","давно","годнота"
"28","менять","картинка","паук","довольно","гореть"
"29","многое","котик","пение","значок","готовить"
"30","напоминать","мечта","пойти","иметь","единственный"
"31","начало","находить","полицейский","както","исключительно"
"32","нужный","невозможный","приготавливать","конкретный","истинный"
"33","окно","немало","прием","круг","история"
"34","определенно","новость","прикольно","крутой","кнопка"
"35","орать","ошибка","прикреплять","курить","личный"
"36","открывать","пауза","приложение","многий","майский"
"37","офис","перспектива","приятно","носок","мнение"
"38","подумать","печатный","рука","ночь","набирать"
"39","помнить","пленка","садиться","парень","немного"
"40","продолжать","плохой","самый","питер","нижнийновгород"
"41","решать","погорать","сидеть","получать","нынче"
"42","рядом","поклонник","слишком","помоему","овца"
"43","сезон","придумывать","снег","понестись","оптимизм"
"44","ситуация","работа","твит","последний","очки"
"45","скоро","розовый","улица","приезжать","первый"
"46","сладкий","смысл","цирк","приходить","подниматься"
"47","слушать","снова","новосибирск","проверять","приносить"
"48","снимать","срочно","alarm","пытаться","проходить"
"49","спасибо","увольнять","anything","пять","рабочий"
"50","сразу","узнавать","authentic","российский","рука"
"51","страшный","чудо","boardsofcanada","рыбеть","скотский"
"52","твиттер","будильник","buy","светлый","слово"
"53","третий","поглядеть","cmon","скучный","списывать"
"54","убивать","написать","console","снижать","становиться"
"55","увидеть","название","darling","совет","стон"
"56","уметь","сделать","dayvan","сом","сыграть"
"57","ходить","allergic","dayvvan","стыд","успевать"
"58","цирюльник","angel","elon","уметь","фантазия"
"59","эмоция","ann","false","фото","шутить"
"60","этнос","birthday","feat","фотография","январяпервый"
"61","bald","brazil","feels","центр","январь"
"62","black","champ","fluffy","час","традиционный"
"63","collapse","due","gamer","список","abomination"
"64","desu","fest","gimme","рад","away"
"65","heroes","fligganation","happy","название","certain"
"66","hills","folk","insightful","can","complicated"
"67","know","injury","introspective","challenge","darling"
"68","lands","iphone","jboss","checked","emily"
"69","mcbess","lost","just","cheeseburger","fliggas"
"70","mean","more","kgsigs","control","glad"
"71","moon","need","khoth","could","hardly"
"72","musical","new","listening","episodes","headspace"
"73","navy","nuts","lot","everyone","igs"
"74","nowthisisawesome","one","ltstrikeoutgtбритьltstrikeoutgtстругать","guys","ios"
"75","over","pdf","magic","instapaper","level"
"76","pyre","plz","man","kind","lie"
"77","returns","put","moar","let","life"
"78","russian","reaction","nuthn","like","matters"
"79","shit","rollins","outer","look","mode"
"80","sugoi","science","outside","looks","ontheroad"
"81","sunflowers","sexually","potato","mouse","opression"
"82","ultranoir","since","razor","rajugultom","power"
"83","verge","stream","read","sort","show"
"84","wand","summer","review","stay","sigh"
"85","автомеханикизговнаипалка","thing","safety","sucked","sorry"
"86","актуализация","title","snow","summon","strange"
"87","александр","today","space","the","they"
"88","алкогольный","transmitted","stuff","tuned","think"
"89","алсо","viber","thanks","warning","type"
"90","альмсиви","weird","thats","wtf","walllol"
"91","альфин","wifiмешсеть","the","youre","ysы"
"92","ангелический","wwe","there","автобус","аааабросать"
"93","аристотель","xddddddddddd","think","автор","авокадо"
"94","астма","автор","win","административный","автор"
"95","афоризм","адвокатишек","youre","айяйяйалеша","айлалаайлал"
"96","балабол","айтишница","zxspectrum","актуально","айфон"
"97","банкто","алексей","абсолютно","алкоголик","активнот"
"98","барин","алена","администрация","альбом","альтруизм"
"99","барс","альбом","адрес","альфин","аналитик"
"100","бгг","анатольич","аитунмс","альфина","аналоговый"
