"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","сосед","амстердам","гавно","бля","пьянь"
"2","грабить","снег","badge","ебаный","хех"
"3","короче","толпа","dont","москва","энергия"
"4","кот","close","even","похмелье","blurry"
"5","начинать","cocaine","friends","хотеть","corrective"
"6","слушать","edge","gay","barcelona","dreams"
"7","торчать","icq","honor","catalunya","lick"
"8","белье","kerk","lonely","cocaine","photo"
"9","битва","one","town","fucking","rape"
"10","блин","push","trauma","hate","sorrows"
"11","веревка","война","you","others","бабка"
"12","взрываться","ворона","адски","plaça","балкон"
"13","включать","вперед","амстердам","активно","банан"
"14","волноваться","высота","берлин","алжир","биг"
"15","встречаться","вытерпеть","берлинский","амстердам","бродяжничество"
"16","гашиш","глаз","библия","арма","бросать"
"17","год","голландец","бразилия","баба","взрывать"
"18","греть","горячка","ветка","бернхайн","вспомнить"
"19","греча","градус","внутренний","бессмысленно","встреча"
"20","дiда","день","воздух","билет","второй"
"21","делать","дергаться","впервые","боже","героин"
"22","день","дно","враг","время","герой"
"23","диван","добивать","вступать","выблядинство","голова"
"24","должно","дождь","гаага","гаага","громкий"
"25","ебашить","доклад","глубина","голландофобия","дверь"
"26","заводиться","докладывать","говорить","двадцать","декадентство"
"27","завтра","думать","греча","долго","женщина"
"28","завтрак","ебать","дестабилизировать","дорого","зажигалка"
"29","знать","жажда","дом","единство","закхлеьнуться"
"30","идти","жара","достопримечательность","епт","заратустра"
"31","когото","завтра","дурацкий","ехать","идеальный"
"32","кой","кровать","жопа","загружать","исчезать"
"33","колонка","крыша","заказывать","занятие","канал"
"34","кормить","лениво","заячий","идиотский","лицо"
"35","крыса","лесть","избегание","идти","мак"
"36","курорт","литератор","интернет","клаб","месяц"
"37","кухня","личность","инфаркт","кореш","минет"
"38","море","любопытно","ицк","кук","море"
"39","наконецто","месть","кайнд","купить","название"
"40","наркотик","мочь","кататься","либерал","наркота"
"41","натали","невольник","коллективный","машина","наушник"
"42","нева","ненавидеть","лайв","мочь","необъяснимый"
"43","отек","нидерландский","ммм","наркотик","ниггерский"
"44","отопление","ночь","муда","народный","нобелевский"
"45","париж","оба","мятежный","наставать","остановка"
"46","передоза","отхуярить","надеяться","наступать","плащ"
"47","перепутывать","пакет","надолго","негр","пляж"
"48","печурка","палец","непрерывный","ооо","подлец"
"49","пламень","пенолать","нигилизм","отброс","подобный"
"50","плескаться","пивко","обновление","отвечать","позволять"
"51","повадиться","плясать","озабоченный","ощущение","помнить"
"52","прогнивать","погром","оскорблять","пиздец","попросить"
"53","противобуржуазный","полова","отсасывать","пить","последний"
"54","путин","получаться","отсос","плюха","постучаться"
"55","ребята","поразевать","охрана","поездка","похуй"
"56","родина","потирать","пенальти","полчаса","проеб"
"57","росгосад","приезжать","пиво","последствие","проебывать"
"58","русский","проламывать","пластикмэн","превращаться","просыпать"
"59","санаторий","редко","провожать","придумывать","рабство"
"60","сдыхать","рейв","путь","провал","роман"
"61","сексуально","россия","пылесос","раваль","роскошный"
"62","сидеть","рот","пятый","рамбло","ругань"
"63","скала","рука","режим","ребенок","рука"
"64","случай","сводить","ска","свалка","свинуть"
"65","снотворный","система","слепота","сити","северный"
"66","соседский","скрипеть","смотреть","ситуация","сердце"
"67","сплывать","слышать","сослепу","слово","скромность"
"68","срать","смотреть","способный","страдание","сосать"
"69","табла","солнце","стабильность","сукифранцузский","состоять"
"70","тесный","спадать","стена","тысячелетие","сочувствовать"
"71","трансец","становиться","тус","угар","сплошь"
"72","участок","сублимация","украсть","ужасно","типичный"
"73","фон","терпеть","финал","уланбатор","трезвый"
"74","ходить","тусовка","фон","уникальный","тысяча"
"75","чертов","тысяча","футбол","учить","угорать"
"76","щас","упртх","хуйня","францияалжир","фильм"
"77","ясно","хрустеть","честно","хата","форма"
"78","голландофобия","читать","чувство","шесть","читать"
"79","кук","ямайка","штука","щас","чпока"
"80","kerk","дiда","ьфн","дiда","шереметьево"
"81","photo","диван","элкохолик","диван","дiда"
"82","минет","голландофобия","дiда","kerk","диван"
"83","хех","кук","диван","photo","голландофобия"
"84","чпока","photo","голландофобия","минет","кук"
"85","амстердам","минет","кук","хех","kerk"
"86","похмелье","хех","kerk","чпока","амстердам"
"87","пьянь","чпока","photo","пьянь","похмелье"
"88","снег","похмелье","минет","снег","снег"
"89","cocaine","пьянь","хех","греча","греча"
"90","плюха","греча","чпока","передоза","cocaine"
"91","последствие","передоза","похмелье","ребята","передоза"
"92","corrective","ребята","пьянь","corrective","ребята"
"93","icq","плюха","снег","icq","плюха"
"94","rape","последствие","cocaine","rape","последствие"
"95","бродяжничество","corrective","передоза","бродяжничество","icq"
"96","декадентство","rape","ребята","декадентство","дно"
"97","дно","бродяжничество","плюха","дно","личность"
"98","закхлеьнуться","декадентство","последствие","закхлеьнуться","приезжать"
"99","личность","закхлеьнуться","corrective","личность","берлин"
"100","приезжать","сосать","icq","приезжать","достопримечательность"
