"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","вернуться","альбом","мочь","мочь","бгг"
"2","время","вконтакте","друг","понимать","искать"
"3","жжшко","константин","название","bless","история"
"4","место","крест","офигенный","бгг","леветь"
"5","мир","песня","эньщик","блейк","нацист"
"6","первый","аббатство","этопонравилосьсергеюлетов","великий","платить"
"7","россия","город","bicycles","группа","пушилин"
"8","соседний","звучать","blood","день","majdanek"
"9","isorropia","любимый","fools","европа","waltz"
"10","ivдевятая","находить","hawker","имя","аxx"
"11","shoreham","отличный","hunter","лондон","авати"
"12","акульт","охуевать","making","мама","август"
"13","атака","реально","music","паб","акульт"
"14","аутист","слушать","must","песня","анхуман"
"15","бгг","успешно","orangutan","писать","астрахань"
"16","бежать","англоязычный","pretend","рождение","балон"
"17","боевитперепугать","архив","rivers","серьезно","бенн"
"18","бумага","аудио","thou","сперва","бесконечность"
"19","внезапно","бдительный","white","сергей","благодарность"
"20","военный","беларусь","wise","понравиться","большой"
"21","война","буклет","аналог","летов","будни"
"22","вступать","варэнний","английский","dee","валяев"
"23","выдавать","верно","артгруппа","erotic","великий"
"24","гавайевтма","видео","аэрошоу","free","версия"
"25","генштаб","видеть","банальность","gnostic","вовсе"
"26","главный","восход","блин","grave","время"
"27","гладкий","выражать","бойд","help","выборы"
"28","глупость","гигантский","большой","hero","вырастать"
"29","голубь","госпропоганда","британский","man","высокий"
"30","город","группа","буря","slavebless","высоко"
"31","госпиталь","дмитрий","валдис","автоматически","гевара"
"32","группа","добавлять","вася","арестовывать","гекатомбион"
"33","давно","домой","великий","армия","гендерный"
"34","далеко","еврей","волдемар","барак","гениальный"
"35","деревня","жидомасон","волонтер","беженец","глаз"
"36","десяток","забавно","встречать","бъет","голосовать"
"37","дискуссия","забывать","вчера","вечер","горячев"
"38","домой","завораживать","год","взгляд","гриценко"
"39","дугин","заливать","горыныч","видеть","делаетед"
"40","еврейадвокат","заря","дед","включать","детство"
"41","железный","звук","делать","врубать","дом"
"42","завтра","злорадство","джо","вручную","драматург"
"43","запускать","идишавен","длинный","выкладывать","думать"
"44","злобный","идти","дописывать","гей","естественно"
"45","игил","издавать","дочитывать","гетеросексуальный","желудочный"
"46","интерес","изменять","ежегодный","год","женщина"
"47","карта","интернет","закрывать","далеко","жертвоприношение"
"48","комментарий","кино","заодно","десятка","жидомасонство"
"49","король","коварный","записывать","дисциплинированный","забирать"
"50","крыло","краков","заплыв","дописывать","загадка"
"51","ленни","круг","затирать","живой","задание"
"52","лонгрида","круто","зло","заводить","зажимать"
"53","минута","латвийский","играть","заглядывать","заканчиваться"
"54","написать","летать","иллюзия","зажигательный","закрывать"
"55","насмерть","лицемерный","интернет","закон","затащить"
"56","недоумеваетный","лицо","кали","заполонять","здорово"
"57","орден","луна","коллекция","индус","ищемна"
"58","осенний","люцифер","комментарий","исполнять","катабазия"
"59","отвечать","макабро","коротченко","история","катабач"
"60","офигеть","малинава","кровь","казимир","коммунист"
"61","побеждать","местечковый","кроль","коварно","кончаться"
"62","погром","мид","крумгольд","коечто","костромаздоровенькочто"
"63","подозревать","минута","купаться","комент","кошачий"
"64","подписывать","мондо","купить","комната","кремль"
"65","подписываться","море","ловить","корона","курс"
"66","поехать","навсегда","любимый","крайний","лейборист"
"67","пожилой","название","любить","лезть","лицо"
"68","позиция","националбольшевик","машина","любитель","маркина"
"69","получать","непривычный","мошенничество","лютый","местный"
"70","помнить","нойздроун","муха","малевич","месяц"
"71","посмотреть","нужный","называть","маршал","мировой"
"72","пост","ожог","начало","менее","мишин"
"73","похоже","оказываться","начинаться","мера","ммм"
"74","представлять","отправлять","ника","миф","надпись"
"75","привычка","офигенный","ночь","молчание","начинать"
"76","примитивный","паукzirneklis","обама","находить","нету"
"77","присутствие","педофилия","обращаться","начало","нигилист"
"78","прославляться","петь","окраина","недолго","нога"
"79","простереть","плюс","особенность","некого","нос"
"80","прямо","полиенко","осуждать","нужно","образ"
"81","пустой","полка","отличный","няшный","ого"
"82","пыталубивать","польский","павленский","обама","одал"
"83","работа","порицать","переходить","обвинять","ожидать"
"84","равноденствие","посмотреть","перечитывать","образец","оказываться"
"85","разбивать","пост","перфомансарт","образованный","окно"
"86","разочарование","появляться","песня","одиночка","окружающий"
"87","рано","предыдущий","пламень","олланд","отписывать"
"88","рассказывать","приходить","подробный","организовывать","палец"
"89","род","разоблачать","подсчитывать","оскорбление","пара"
"90","российский","редкий","политика","отец","писать"
"91","самайн","релиз","последствие","отключать","поздравление"
"92","светма","речь","почитать","отличный","поймать"
"93","серия","россиюшка","предлагать","пиздец","портрет"
"94","синкин","россия","придумывать","пить","посмотреть"
"95","скучать","рутрекер","прилагаться","плохой","пост"
"96","собираться","сайт","приступать","плюсовать","прекрасный"
"97","сотня","сапогахтм","проверять","повлиять","приключение"
"98","спрашивать","сатанист","проезжать","подъезд","приходить"
"99","старый","слава","прочитывать","показывать","пророр"
"100","статья","советскоероссийский","путин","пора","пятилетка"
