"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","can","thanks","the","actfestival","проповедь"
"2","беседа","words","actfestival","протоиерей","святой"
"3","союз","kind","слово","смирнов","писать"
"4","батюшка","glad","вопрос","димитрий","знать"
"5","часть","new","day","아시아문화전당","память"
"6","what","спасибо","nice","space","русский"
"7","красота","hear","проповедь","год","photo"
"8","сделать","will","интернет","слово","just"
"9","черный","were","неделя","день","кирилл"
"10","now","like","первый","thevault","патриарх"
"11","мочь","москва","and","блогпост","say"
"12","this","фото","future","выпуск","лекция"
"13","аркадий","sorry","gwangju","часы","пятидесятница"
"14","банк","день","twitter","диалог","время"
"15","дивизион","amp","working","измерение","хороший"
"16","дэвид","israeli","that","друг","turkey"
"17","май","one","аудиопост","спасать","неделя"
"18","мамонт","thats","второй","идти","пост"
"19","отдельный","url","asian","ребенок","хотеть"
"20","салон","youre","complex","самый","день"
"21","фолловер","час","cultural","искать","читать"
"22","soon","nice","design","радио","культура"
"23","you","right","heres","drones","инстаграм"
"24","well","stuff","image","made","make"
"25","ответ","pro","multiple","мир","ночь"
"26","like","better","others","kids","последний"
"27","слово","нужный","sure","ask","hope"
"28","better","just","говорить","diamond","islamists"
"29","thing","can","дом","family","mine"
"30","хороший","made","замок","guilty","говорить"
"31","are","жить","пирог","lines","дело"
"32","world","busy","суздаль","ready","наука"
"33","вопрос","help","целый","version","сериал"
"34","город","называть","work","блог","шашлычок"
"35","думать","написать","never","брак","самый"
"36","fixed","change","играть","вставать","слово"
"37","get","enjoying","гитарист","игорь","account"
"38","nabajyotisaikia","everything","talk","мировой","мочь"
"39","shikoba","hit","суббота","прямой","need"
"40","балтимор","imac","already","смерть","ответ"
"41","белый","ipad","перевод","сторона","dont"
"42","дорогой","paste","app","участник","комплементаризм"
"43","здравствовать","something","book","эфир","isnt"
"44","казаться","work","well","days","its"
"45","лежачий","yeah","сайт","hours","places"
"46","место","young","always","россия","friend"
"47","немного","выступление","first","передача","old"
"48","саентология","любить","game","рождение","николай"
"49","сознание","одесса","got","бой","понимать"
"50","тип","опубликовывать","perm","хуй","работа"
"51","хотеть","поэт","time","фуррер","улица"
"52","экспертиза","прекрасный","weeks","максим","эпоха"
"53","feel","прямо","богородица","обухов","adding"
"54","last","дата","давать","just","arrived"
"55","любовь","jewish","amp","будущее","badge"
"56","whole","знать","breaks","андрей","believe"
"57","ive","know","decade","перевод","cool"
"58","внезапно","guy","desktop","академия","martyrs"
"59","welcome","noone","face","находить","paris"
"60","ходить","else","friends","страна","posted"
"61","just","doesnt","going","came","red"
"62","today","sounds","history","light","suck"
"63","make","good","landscape","live","terrorists"
"64","info","dropbox","local","long","unlocked"
"65","hey","you","mother","match","update"
"66","life","use","nope","peter","wish"
"67","isnt","address","now","phenomenon","woot"
"68","делать","already","people","star","your"
"69","край","kids","photos","system","zloiglesiass"
"70","проживать","publish","potential","test","великий"
"71","река","ready","russia","they","влюблять"
"72","смерть","trying","seasons","toy","война"
"73","соловьев","пермь","secret","two","всерьез"
"74","фото","работать","seems","unicolor","главное"
"75","best","тема","sky","антропология","давно"
"76","desktop","another","still","ашманов","десять"
"77","ever","appreciate","things","беречь","диск"
"78","every","bar","thx","вещь","довольнотака"
"79","fact","bet","uxpin","видеозапись","дом"
"80","give","cat","баба","власть","женщина"
"81","great","changes","бежать","внимание","захотеться"
"82","lane","civilians","бесстыдство","встречаться","идти"
"83","lightning","display","будильник","выходить","категория"
"84","looks","embed","вечно","гардасил","красный"
"85","part","everybody","взяться","голова","круто"
"86","piece","fight","владычица","греческий","либерал"
"87","post","from","возможный","дверь","массовый"
"88","top","istandwithisrael","гореть","зря","музыка"
"89","winning","jobs","дедушка","както","настоящий"
"90","yet","least","ехать","кафе","объявлять"
"91","аптека","lectures","жена","крутой","одесса"
"92","арлекино","london","жить","любимый","паразит"
"93","владимир","mode","иван","международный","площадь"
"94","выйграть","nazis","кейт","миша","подымать"
"95","гозман","pal","кино","молодой","поликлиника"
"96","давать","patience","композитор","номер","посадить"
"97","доклад","release","концерт","огромный","постить"
"98","закрываться","return","магия","осторожно","потерять"
"99","замечать","review","маразм","остров","праздник"
"100","запись","send","мария","помощь","привлекательность"
