"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","понимать","рубль","мочь","pack","хотеть"
"2","давать","москва","день","sticker","год"
"3","спасибо","мир","сделать","telegramstickers","делать"
"4","видео","санктпетербург","смотреть","говорить","хороший"
"5","писать","тудаобратно","работать","zveryatki","думать"
"6","видеть","православие","работа","хотеть","sdn"
"7","нужный","just","выходить","час","stpetersburg"
"8","tampp","петербург","случай","время","датацентр"
"9","работа","the","становиться","рука","санктпетербург"
"10","новое","others","самый","игра","друг"
"11","читать","ryanair","оставаться","неделя","написать"
"12","город","история","думать","находить","фильм"
"13","купить","обратно","лето","самый","вопрос"
"14","плохой","пора","нравиться","знать","день"
"15","интернет","прямой","любить","голова","знать"
"16","правильно","новость","год","отличный","школа"
"17","сразу","валерия","прямо","место","приходить"
"18","карта","гаврилин","утро","ока","смотреть"
"19","вечер","корп","вести","ссылка","идти"
"20","собираться","декабрь","отвечать","играть","говорить"
"21","номер","like","пять","начинаться","нормальный"
"22","английский","рейс","обычно","любить","господи"
"23","лицо","сторона","дело","похожий","самый"
"24","начинать","знать","идти","работать","помощь"
"25","жить","победа","олег","слушать","скоро"
"26","точно","цена","большой","заниматься","курс"
"27","бывать","dont","купить","жить","иметь"
"28","плохо","год","сериал","посмотреть","прекрасный"
"29","дело","wizzair","надеяться","уходить","любимый"
"30","телефон","аэрофлот","пить","слово","дело"
"31","оказываться","чартер","лежать","кофе","персонаж"
"32","знать","нужно","рождение","вечер","российский"
"33","мужик","билет","сон","поставлять","сестра"
"34","долго","ржд","информация","находиться","мор"
"35","окно","черный","написать","третий","особенно"
"36","слышать","полет","кошка","блин","концерт"
"37","попробовать","увидеть","русский","получать","давно"
"38","пойти","мочь","спать","каждый","сильно"
"39","узнавать","сборка","звезда","ситуация","вид"
"40","казаться","get","война","приходить","появляться"
"41","твиттер","россия","дата","открывать","начинать"
"42","ждать","турция","важный","выходной","интересный"
"43","слово","time","god","точка","сила"
"44","выглядеть","второй","деньги","оказываться","показывать"
"45","скоро","good","конец","сразу","получаться"
"46","интересно","глаз","слово","рано","вещь"
"47","местный","гореть","паблик","писать","читать"
"48","происходить","скидка","смысл","решать","играть"
"49","общий","январь","читать","николай","проект"
"50","приходиться","really","ночь","огромный","время"
"51","метро","европа","чувствовать","красный","книга"
"52","чувак","ждать","песня","сайт","игрушечка"
"53","отправлять","начинать","умирать","индия","стивен"
"54","спать","первый","вчера","далеко","фрай"
"55","улица","город","четыре","рассказывать","хуй"
"56","верить","know","месяц","картинка","non"
"57","год","пятница","вернуться","подумать","уметь"
"58","секс","тур","добрый","вчера","забывать"
"59","хороший","photo","кричать","прочитывать","помнить"
"60","равный","хороший","спбгпу","всетака","спрашивать"
"61","близко","фраза","учиться","ночь","дельный"
"62","заканчиваться","туктуктук","причина","проблема","поздравлять"
"63","гугл","airlines","its","делать","тема"
"64","главное","posted","can","замечать","вино"
"65","следующий","sure","сниться","узнавать","sed"
"66","помощь","боевик","както","судя","заявлять"
"67","случайно","рига","герой","бля","собираться"
"68","место","путешествие","час","государство","заводить"
"69","приятный","игил","слишком","дева","нога"
"70","поезд","центр","последний","картина","закрывать"
"71","слушать","ошибка","ответ","половина","чувство"
"72","ночь","выбирать","приходить","собственный","хотеться"
"73","закрывать","air","рука","стена","работа"
"74","находить","happy","проверять","полный","равный"
"75","самый","сходить","будущее","брать","ноябрь"
"76","большой","мозг","ауд","amp","круг"
"77","совершенно","карта","нанобио","блядь","высокий"
"78","пытаться","one","ненавидеть","утро","вкус"
"79","мертвый","смерть","пгк","женщина","счастливый"
"80","мобильный","находить","smmru","оставаться","тургор"
"81","рад","вводить","судьба","the","закон"
"82","хуйня","нужный","называть","план","интересно"
"83","приезжать","считать","видеть","нужно","выходить"
"84","будущее","милый","внезапно","помощь","крутой"
"85","доходить","неделя","рисовать","пожалуйста","основной"
"86","мило","ночь","документ","рядом","пара"
"87","книжка","статья","счет","people","водка"
"88","просить","московский","немного","глава","возможность"
"89","пожалуйста","cant","предлагать","сеть","должный"
"90","оставлять","didnt","решать","нарисовать","умирать"
"91","проходить","see","страна","доставать","добавлять"
"92","последний","talk","девушка","рассылка","твиттер"
"93","кот","дальнобойщик","каждый","масло","разговор"
"94","разбираться","круиз","знать","попытаться","первый"
"95","игра","невозможно","твит","внезапно","мама"
"96","выходить","хельсинки","время","личный","russian"
"97","рассказывать","январьмарт","часть","фамилия","ужас"
"98","смочь","поиск","посмотреть","отказываться","двадцать"
"99","открытка","удовольствие","снег","дело","должно"
"100","пацан","поступать","предложение","стоять","ебучий"
